image,label,prompt,response,final_pred,expert_clip,expert_meme,expert_nlp
jyxHhiB.png,1,P_DEMOCRACY,1,1,0,0,0
jyxHhiB.png,1,P_COT,1,1,0,0,0
jyxHhiB.png,1,P_HEURISTIC,1,1,0,0,0
we4hhWi.png,1,P_DEMOCRACY,1,1,1,1,1
we4hhWi.png,1,P_COT,1,1,1,1,1
we4hhWi.png,1,P_HEURISTIC,1,1,1,1,1
TpIZoZr.png,1,P_DEMOCRACY,0,0,0,0,0
TpIZoZr.png,1,P_COT,1,1,0,0,0
TpIZoZr.png,1,P_HEURISTIC,0,0,0,0,0
h6Pkqkr.png,0,P_DEMOCRACY,0,0,0,1,0
h6Pkqkr.png,0,P_COT,0,0,0,1,0
h6Pkqkr.png,0,P_HEURISTIC,0,0,0,1,0
94anjQG.png,0,P_DEMOCRACY,1,1,0,1,0
94anjQG.png,0,P_COT,1,1,0,1,0
94anjQG.png,0,P_HEURISTIC,1,1,0,1,0
rOvVkF1.png,0,P_DEMOCRACY,0,0,0,0,0
rOvVkF1.png,0,P_COT,0,0,0,0,0
rOvVkF1.png,0,P_HEURISTIC,0,0,0,0,0
odYglAk.png,0,P_DEMOCRACY,0,0,0,0,0
odYglAk.png,0,P_COT,0,0,0,0,0
odYglAk.png,0,P_HEURISTIC,0,0,0,0,0
D40IF3q.png,0,P_DEMOCRACY,0,0,0,1,0
D40IF3q.png,0,P_COT,1,1,0,1,0
D40IF3q.png,0,P_HEURISTIC,1,1,0,1,0
CvOg2va.png,0,P_DEMOCRACY,0,0,0,0,0
CvOg2va.png,0,P_COT,0,0,0,0,0
CvOg2va.png,0,P_HEURISTIC,0,0,0,0,0
4q1tono.png,0,P_DEMOCRACY,0,0,0,0,0
4q1tono.png,0,P_COT,1,1,0,0,0
4q1tono.png,0,P_HEURISTIC,1,1,0,0,0
tMzNcad.png,0,P_DEMOCRACY,0,0,0,0,0
tMzNcad.png,0,P_COT,0,0,0,0,0
tMzNcad.png,0,P_HEURISTIC,0,0,0,0,0
CdPJdPnVIAQqX9G.jpg,0,P_DEMOCRACY,1,1,0,1,0
CdPJdPnVIAQqX9G.jpg,0,P_COT,1,1,0,1,0
CdPJdPnVIAQqX9G.jpg,0,P_HEURISTIC,1,1,0,1,0
0N5ZKcH.png,0,P_DEMOCRACY,1,1,1,1,0
0N5ZKcH.png,0,P_COT,1,1,1,1,0
0N5ZKcH.png,0,P_HEURISTIC,1,1,1,1,0
8Djb33H.png,0,P_DEMOCRACY,1,1,0,1,0
8Djb33H.png,0,P_COT,1,1,0,1,0
8Djb33H.png,0,P_HEURISTIC,1,1,0,1,0
Y85uWnm.png,1,P_DEMOCRACY,1,1,1,1,0
Y85uWnm.png,1,P_COT,1,1,1,1,0
Y85uWnm.png,1,P_HEURISTIC,1,1,1,1,0
12XLnzK.png,1,P_DEMOCRACY,0,0,0,0,0
12XLnzK.png,1,P_COT,0,0,0,0,0
12XLnzK.png,1,P_HEURISTIC,0,0,0,0,0
se7MJYj.png,0,P_DEMOCRACY,0,0,0,1,0
se7MJYj.png,0,P_COT,1,1,0,1,0
se7MJYj.png,0,P_HEURISTIC,1,1,0,1,0
h92g9FL.png,0,P_DEMOCRACY,0,0,0,0,0
h92g9FL.png,0,P_COT,0,0,0,0,0
h92g9FL.png,0,P_HEURISTIC,0,0,0,0,0
4j4jraI.png,1,P_DEMOCRACY,0,0,0,1,0
4j4jraI.png,1,P_COT,1,1,0,1,0
4j4jraI.png,1,P_HEURISTIC,1,1,0,1,0
DDWmGxP.png,1,P_DEMOCRACY,0,0,0,1,0
DDWmGxP.png,1,P_COT,0,0,0,1,0
DDWmGxP.png,1,P_HEURISTIC,1,1,0,1,0
qfYlr30.png,1,P_DEMOCRACY,0,0,0,1,0
qfYlr30.png,1,P_COT,0,0,0,1,0
qfYlr30.png,1,P_HEURISTIC,0,0,0,1,0
VoNgxAD.png,0,P_DEMOCRACY,0,0,0,1,0
VoNgxAD.png,0,P_COT,0,0,0,1,0
VoNgxAD.png,0,P_HEURISTIC,0,0,0,1,0
aKBYqSs.png,0,P_DEMOCRACY,0,0,0,1,0
aKBYqSs.png,0,P_COT,0,0,0,1,0
aKBYqSs.png,0,P_HEURISTIC,1,1,0,1,0
MQqsZvW.png,1,P_DEMOCRACY,0,0,0,1,0
MQqsZvW.png,1,P_COT,0,0,0,1,0
MQqsZvW.png,1,P_HEURISTIC,0,0,0,1,0
s1qivuu.png,0,P_DEMOCRACY,0,0,0,1,0
s1qivuu.png,0,P_COT,0,0,0,1,0
s1qivuu.png,0,P_HEURISTIC,0,0,0,1,0
xlV0M7Q.png,1,P_DEMOCRACY,1,1,0,1,0
xlV0M7Q.png,1,P_COT,1,1,0,1,0
xlV0M7Q.png,1,P_HEURISTIC,1,1,0,1,0
BkZ356ICIAAEHId.jpg,1,P_DEMOCRACY,1,1,0,1,1
BkZ356ICIAAEHId.jpg,1,P_COT,1,1,0,1,1
BkZ356ICIAAEHId.jpg,1,P_HEURISTIC,1,1,0,1,1
7P6yB0D.png,0,P_DEMOCRACY,1,1,0,0,0
