image,label,prompt,response,final_pred,expert_clip,expert_meme,expert_nlp
img/08291.png,1,P_DEMOCRACY,1,1,0,1,0
img/08291.png,1,P_COT,1,1,0,1,0
img/08291.png,1,P_HEURISTIC,1,1,0,1,0
img/46971.png,1,P_DEMOCRACY,0,0,0,1,0
img/46971.png,1,P_COT,1,1,0,1,0
img/46971.png,1,P_HEURISTIC,0,0,0,1,0
img/03745.png,1,P_DEMOCRACY,1,1,1,1,0
img/03745.png,1,P_COT,1,1,1,1,0
img/03745.png,1,P_HEURISTIC,1,1,1,1,0
img/83745.png,1,P_DEMOCRACY,0,0,0,0,1
img/83745.png,1,P_COT,1,1,0,0,1
img/83745.png,1,P_HEURISTIC,1,1,0,0,1
img/80243.png,1,P_DEMOCRACY,0,0,0,1,0
img/80243.png,1,P_COT,1,1,0,1,0
img/80243.png,1,P_HEURISTIC,1,1,0,1,0
img/05279.png,1,P_DEMOCRACY,1,1,0,1,0
img/05279.png,1,P_COT,1,1,0,1,0
img/05279.png,1,P_HEURISTIC,1,1,0,1,0
img/01796.png,1,P_DEMOCRACY,0,0,1,1,0
img/01796.png,1,P_COT,0,0,1,1,0
img/01796.png,1,P_HEURISTIC,1,1,1,1,0
img/53046.png,1,P_DEMOCRACY,0,0,0,1,0
img/53046.png,1,P_COT,0,0,0,1,0
img/53046.png,1,P_HEURISTIC,0,0,0,1,0
img/82301.png,1,P_DEMOCRACY,0,0,0,1,0
img/82301.png,1,P_COT,0,0,0,1,0
img/82301.png,1,P_HEURISTIC,0,0,0,1,0
img/31752.png,1,P_DEMOCRACY,0,0,0,1,0
img/31752.png,1,P_COT,1,1,0,1,0
img/31752.png,1,P_HEURISTIC,1,1,0,1,0
img/27635.png,1,P_DEMOCRACY,1,1,1,1,1
img/27635.png,1,P_COT,1,1,1,1,1
img/27635.png,1,P_HEURISTIC,1,1,1,1,1
img/80597.png,1,P_DEMOCRACY,1,1,1,1,1
img/80597.png,1,P_COT,0,0,1,1,1
img/80597.png,1,P_HEURISTIC,1,1,1,1,1
img/45368.png,1,P_DEMOCRACY,1,1,1,0,0
img/45368.png,1,P_COT,1,1,1,0,0
img/45368.png,1,P_HEURISTIC,1,1,1,0,0
img/17963.png,1,P_DEMOCRACY,0,0,0,0,0
img/17963.png,1,P_COT,1,1,0,0,0
img/17963.png,1,P_HEURISTIC,0,0,0,0,0
img/53968.png,1,P_DEMOCRACY,0,0,0,1,0
img/53968.png,1,P_COT,0,0,0,1,0
img/53968.png,1,P_HEURISTIC,0,0,0,1,0
img/10749.png,1,P_DEMOCRACY,0,0,0,1,0
img/10749.png,1,P_COT,1,1,0,1,0
