image_name,label_true,memeclip_pred,memeclip_prob
jyxHhiB.png,1,0,0.4708984
we4hhWi.png,1,1,0.53660434
TpIZoZr.png,1,0,0.46928182
h6Pkqkr.png,0,1,0.51813185
94anjQG.png,0,1,0.518996
rOvVkF1.png,0,0,0.40833646
odYglAk.png,0,0,0.4859503
D40IF3q.png,0,1,0.51083404
CvOg2va.png,0,0,0.4785887
4q1tono.png,0,0,0.4367182
tMzNcad.png,0,0,0.4117193
CdPJdPnVIAQqX9G.jpg,0,1,0.50042254
0N5ZKcH.png,0,1,0.5487403
8Djb33H.png,0,1,0.53234005
Y85uWnm.png,1,1,0.5316931
12XLnzK.png,1,0,0.4954829
se7MJYj.png,0,1,0.55383927
h92g9FL.png,0,0,0.43986425
4j4jraI.png,1,1,0.54707104
DDWmGxP.png,1,1,0.54418415
qfYlr30.png,1,1,0.52659684
VoNgxAD.png,0,1,0.5084422
aKBYqSs.png,0,1,0.51897895
MQqsZvW.png,1,1,0.53421617
s1qivuu.png,0,1,0.53077984
xlV0M7Q.png,1,1,0.5027592
BkZ356ICIAAEHId.jpg,1,1,0.52536607
7P6yB0D.png,0,0,0.46993184
gZWRvf8.png,1,1,0.5221192
JYTlRZK.png,0,0,0.48809913
88B7ag2.png,0,0,0.43235642
qHkGmLt.png,1,1,0.5147766
taecqiR.png,1,1,0.5104133
meTteYg.png,0,0,0.48415798
R2jWn36.png,0,0,0.46281654
TL8WSKV.png,0,1,0.54738224
ezoih5p.png,0,1,0.51907766
so4V8X7.png,0,0,0.45535544
rZGXxM4.png,1,1,0.5075952
873SgEx.png,0,0,0.43776113
DAJu7lB.png,0,0,0.43407175
CsdehGlWgAAv2HI.jpg,1,0,0.42018616
7rNwjnv.png,0,0,0.48388723
TOuTChz.png,0,1,0.52852607
zPT9dFf.png,0,0,0.48905945
9HHSnfe.png,1,0,0.47749287
lJVnWF2.png,1,0,0.4403694
xLXvr9t.png,0,1,0.54333466
TFRcH6Q.png,0,0,0.49835628
v2dOGRp.png,1,1,0.5375289
VlcI2AV.png,0,0,0.41083267
DLr1Uo7.png,0,1,0.552396
ZwFfyVJ.png,1,1,0.53754985
27S1feu.png,0,1,0.5129941
wgVTz9g.png,0,1,0.54959196
BWopGu8.png,0,1,0.52402323
CjZPiloXAAA1v_W.jpg,0,0,0.4753948
B_LgxAvVIAA_lu8.jpg,1,0,0.47721517
Cc8PZCkXIAAmG0f.jpg,0,0,0.47480354
gdHUw8d.png,1,0,0.46641433
4ZKsrX3.png,1,1,0.5362126
BXs0Wy8.png,1,1,0.5303442
4jYyIBw.png,0,0,0.49169898
JbWv3sM.png,1,0,0.49445623
1BeUIMs.png,1,1,0.5364985
ruSN6zI.png,1,1,0.50902265
k6x2h2d.png,1,0,0.48726296
WSy7NGq.png,0,1,0.539768
7lqO9Qr.png,1,1,0.5138297
T9pQAFP.png,0,1,0.5167641
CjRhYGU.png,0,0,0.4515393
5NWPOQp.png,0,0,0.49577388
FYijK60.png,0,1,0.54438126
CcsU2lQUEAEoeuW.jpg,0,0,0.38388842
tcXzxyV.png,0,0,0.4518001
u9FeEuE.png,1,0,0.48538914
pgVlfQb.png,0,0,0.4483065
WvnX54P.png,0,0,0.49248433
x76JHsa.png,1,1,0.5371039
yHg7DkU.png,1,1,0.5223935
Hf65xSJ.png,1,1,0.50544494
t4xWpee.png,0,0,0.49601075
6r16i0p.png,1,1,0.52048135
QNB8H2s.png,0,1,0.50658256
5W8eGmw.png,1,0,0.48831284
Nyo6x2Y.png,1,1,0.5002064
5hN4XOF.png,0,0,0.49956104
nEE5sjy.png,0,1,0.5227571
OH0Nuxb.png,1,1,0.5249339
hoApJnq.png,1,1,0.51966226
M6wyDw8.png,0,0,0.47648042
rklsz23.png,1,0,0.47206992
43LJZG9.png,0,1,0.5040558
mHAg22Y.png,1,1,0.55731404
pEPz8iF.png,0,1,0.52901787
nnEBoVw.png,0,0,0.46558374
CaqKlOXWIAAvy8L.jpg,0,0,0.4031679
hLMgzsp.png,1,1,0.5636095
zvdzU3y.png,0,0,0.46455303
CbYe-4SW8AAmvbJ.jpg,0,0,0.4326587
NwQNeBd.png,1,1,0.540467
mZvaiMI.png,0,0,0.48661855
Ktvna1u.png,0,1,0.5026943
bnQlLeN.png,1,1,0.53113085
CfU-_jqW4AAmTBw.jpg,0,0,0.43425852
JT26Var.png,0,0,0.4598385
LW5TKwe.png,0,0,0.42436817
krkcbjy.png,0,0,0.4505686
AY91zJl.png,0,1,0.5317826
8WsB12c.png,0,0,0.46655008
5kSMRv3.png,0,0,0.44108957
209BoJK.png,0,0,0.43584162
CfUTJmj.png,0,0,0.41537642
53U5Bca.png,0,0,0.48997554
pyCWWr7.png,0,0,0.48358974
