image_name,label_true,roberta_pred,roberta_prob
jyxHhiB.png,1,0,0.034524605
we4hhWi.png,1,1,0.700396
TpIZoZr.png,1,0,0.19873802
h6Pkqkr.png,0,0,0.0025228076
94anjQG.png,0,0,0.0027930893
rOvVkF1.png,0,0,0.002673165
odYglAk.png,0,0,0.0017689343
D40IF3q.png,0,0,0.0047604926
CvOg2va.png,0,0,0.0019605649
4q1tono.png,0,0,0.035158236
tMzNcad.png,0,0,0.004035687
CdPJdPnVIAQqX9G.jpg,0,0,0.006919922
0N5ZKcH.png,0,0,0.014773958
8Djb33H.png,0,0,0.4602981
Y85uWnm.png,1,0,0.0052899662
12XLnzK.png,1,0,0.0026533091
se7MJYj.png,0,0,0.024041047
h92g9FL.png,0,0,0.03772244
4j4jraI.png,1,0,0.007622137
DDWmGxP.png,1,0,0.0025110263
qfYlr30.png,1,0,0.025841415
VoNgxAD.png,0,0,0.002088352
aKBYqSs.png,0,0,0.0051104072
MQqsZvW.png,1,0,0.0077195046
s1qivuu.png,0,0,0.0050378935
xlV0M7Q.png,1,0,0.0014030408
BkZ356ICIAAEHId.jpg,1,1,0.9299434
7P6yB0D.png,0,0,0.03746847
gZWRvf8.png,1,0,0.0049643246
JYTlRZK.png,0,0,0.003192799
88B7ag2.png,0,0,0.0019989307
qHkGmLt.png,1,0,0.0055412077
taecqiR.png,1,1,0.87425137
meTteYg.png,0,0,0.0023276394
R2jWn36.png,0,0,0.002022054
TL8WSKV.png,0,0,0.1094833
ezoih5p.png,0,0,0.0027927747
so4V8X7.png,0,0,0.0017204602
rZGXxM4.png,1,0,0.00836435
873SgEx.png,0,0,0.0017667311
DAJu7lB.png,0,0,0.0038803015
CsdehGlWgAAv2HI.jpg,1,0,0.0029122184
7rNwjnv.png,0,0,0.0019482883
TOuTChz.png,0,0,0.006059609
zPT9dFf.png,0,0,0.0058028484
9HHSnfe.png,1,0,0.002973839
lJVnWF2.png,1,0,0.01246692
xLXvr9t.png,0,0,0.0032014376
TFRcH6Q.png,0,0,0.0026871383
v2dOGRp.png,1,0,0.0046940106
VlcI2AV.png,0,0,0.0024907023
DLr1Uo7.png,0,0,0.0027804966
ZwFfyVJ.png,1,0,0.0047632786
27S1feu.png,0,0,0.14746119
wgVTz9g.png,0,0,0.0090166405
BWopGu8.png,0,1,0.9687308
CjZPiloXAAA1v_W.jpg,0,0,0.001644747
B_LgxAvVIAA_lu8.jpg,1,0,0.011280701
Cc8PZCkXIAAmG0f.jpg,0,0,0.0012544267
gdHUw8d.png,1,0,0.0016938582
4ZKsrX3.png,1,0,0.0029107
BXs0Wy8.png,1,0,0.0073807766
4jYyIBw.png,0,0,0.0038873318
JbWv3sM.png,1,0,0.10997929
XtxfPFR.png,1,0,0.0052980636
1BeUIMs.png,1,0,0.36060533
ruSN6zI.png,1,1,0.5387754
k6x2h2d.png,1,0,0.015390209
WSy7NGq.png,0,0,0.073747106
7lqO9Qr.png,1,0,0.0017722279
T9pQAFP.png,0,0,0.019520713
