image_name,label_true,clipmlp_pred,clipmlp_prob
jyxHhiB.png,1,0,0.45481014
we4hhWi.png,1,1,0.56382906
TpIZoZr.png,1,0,0.41259965
h6Pkqkr.png,0,0,0.35672182
94anjQG.png,0,0,0.39862415
rOvVkF1.png,0,0,0.31679606
odYglAk.png,0,0,0.42176726
D40IF3q.png,0,0,0.49198818
CvOg2va.png,0,0,0.4163558
4q1tono.png,0,0,0.4231958
tMzNcad.png,0,0,0.3305669
CdPJdPnVIAQqX9G.jpg,0,0,0.44736794
0N5ZKcH.png,0,1,0.5590565
8Djb33H.png,0,0,0.4544429
Y85uWnm.png,1,1,0.53531146
12XLnzK.png,1,0,0.4747077
se7MJYj.png,0,0,0.48079833
h92g9FL.png,0,0,0.3862289
4j4jraI.png,1,0,0.48149177
DDWmGxP.png,1,0,0.48284227
qfYlr30.png,1,0,0.42212963
VoNgxAD.png,0,0,0.3727175
aKBYqSs.png,0,0,0.35750312
MQqsZvW.png,1,0,0.43239343
s1qivuu.png,0,0,0.364381
xlV0M7Q.png,1,0,0.46318525
BkZ356ICIAAEHId.jpg,1,0,0.47420517
7P6yB0D.png,0,0,0.35641247
gZWRvf8.png,1,0,0.399969
JYTlRZK.png,0,0,0.40711698
88B7ag2.png,0,0,0.3213613
qHkGmLt.png,1,0,0.4232883
taecqiR.png,1,0,0.47462013
meTteYg.png,0,0,0.35939372
R2jWn36.png,0,0,0.32144758
TL8WSKV.png,0,0,0.49822852
ezoih5p.png,0,0,0.44187686
so4V8X7.png,0,0,0.38638568
rZGXxM4.png,1,0,0.40670547
873SgEx.png,0,0,0.2985281
DAJu7lB.png,0,0,0.28547713
CsdehGlWgAAv2HI.jpg,1,0,0.41486984
7rNwjnv.png,0,0,0.4812213
TOuTChz.png,0,0,0.49329275
zPT9dFf.png,0,0,0.29079792
9HHSnfe.png,1,0,0.3900436
lJVnWF2.png,1,0,0.4174676
xLXvr9t.png,0,0,0.44504032
TFRcH6Q.png,0,0,0.41794738
v2dOGRp.png,1,0,0.49029982
VlcI2AV.png,0,0,0.30805904
DLr1Uo7.png,0,0,0.4723809
ZwFfyVJ.png,1,0,0.4857017
27S1feu.png,0,0,0.48500955
wgVTz9g.png,0,1,0.5203802
BWopGu8.png,0,0,0.3232969
CjZPiloXAAA1v_W.jpg,0,0,0.36777368
B_LgxAvVIAA_lu8.jpg,1,0,0.39918017
Cc8PZCkXIAAmG0f.jpg,0,0,0.44224608
gdHUw8d.png,1,0,0.3881345
4ZKsrX3.png,1,0,0.46579152
BXs0Wy8.png,1,0,0.38738748
4jYyIBw.png,0,0,0.38472503
JbWv3sM.png,1,0,0.35309064
1BeUIMs.png,1,0,0.49300817
ruSN6zI.png,1,0,0.49764052
k6x2h2d.png,1,0,0.42461482
WSy7NGq.png,0,1,0.52330333
7lqO9Qr.png,1,0,0.39462635
T9pQAFP.png,0,0,0.49374554
CjRhYGU.png,0,0,0.3730098
5NWPOQp.png,0,0,0.3761053
FYijK60.png,0,0,0.47383776
CcsU2lQUEAEoeuW.jpg,0,0,0.27534637
tcXzxyV.png,0,0,0.3661675
u9FeEuE.png,1,0,0.4865975
pgVlfQb.png,0,0,0.4384728
WvnX54P.png,0,0,0.3506152
x76JHsa.png,1,0,0.46309674
yHg7DkU.png,1,0,0.43376967
Hf65xSJ.png,1,1,0.5158536
t4xWpee.png,0,0,0.38723597
6r16i0p.png,1,0,0.41466206
QNB8H2s.png,0,1,0.5228136
5W8eGmw.png,1,0,0.41454384
Nyo6x2Y.png,1,0,0.46797836
5hN4XOF.png,0,0,0.4211224
nEE5sjy.png,0,0,0.4654058
OH0Nuxb.png,1,1,0.51908934
hoApJnq.png,1,0,0.4018547
M6wyDw8.png,0,0,0.41281053
rklsz23.png,1,0,0.37323967
43LJZG9.png,0,0,0.3983578
mHAg22Y.png,1,1,0.59246784
pEPz8iF.png,0,0,0.47226366
nnEBoVw.png,0,0,0.40590507
CaqKlOXWIAAvy8L.jpg,0,0,0.2554231
hLMgzsp.png,1,1,0.536975
zvdzU3y.png,0,0,0.27063763
CbYe-4SW8AAmvbJ.jpg,0,0,0.32511845
NwQNeBd.png,1,1,0.5702788
mZvaiMI.png,0,0,0.3265427
Ktvna1u.png,0,0,0.42827937
bnQlLeN.png,1,0,0.4759263
CfU-_jqW4AAmTBw.jpg,0,0,0.38263023
JT26Var.png,0,0,0.41479594
LW5TKwe.png,0,0,0.34112966
krkcbjy.png,0,0,0.37769154
AY91zJl.png,0,0,0.49487513
8WsB12c.png,0,0,0.44482267
5kSMRv3.png,0,0,0.4090266
209BoJK.png,0,0,0.25844836
